Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,K9CU,146.760000,-,0.600000,Tone,162.2,162.2,023,NN,FM,5.00,,Champaign,,,,
1,K9CW,147.060000,+,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,Urbana,,,,
2,K9LOF,147.285000,+,0.600000,Tone,146.2,88.5,023,NN,FM,5.00,,Allerton,,,,
3,W9YR,443.481250,+,5.000000,,88.5,88.5,023,NN,DV,5.00,,Champaign,CQCQCQ,,,0
4,W9IPA,443.768750,+,5.000000,,88.5,88.5,023,NN,DV,5.00,,Rantoul,CQCQCQ,,,0
5,K9SI,444.100000,+,5.000000,Tone,162.2,88.5,023,NN,FM,5.00,,Champaign,,,,
6,W9YH,444.525000,+,5.000000,Tone,162.2,88.5,023,NN,FM,5.00,,Champaign,,,,
7,W9YH,444.650000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,"Champaign, Everitt Laboratory",,,,
10,K9IYP,145.410000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,Bement,,,,
11,KB9ZAM,442.725000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Monticello,,,,
12,KB9WEW,443.575000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Bement,,,,
20,KC9USH,29.660000,-,0.100000,Tone,100.0,88.5,023,NN,FM,5.00,,Danville,,,,
21,NU9R,52.970000,-,1.000000,Tone,88.5,88.5,023,NN,FM,5.00,,Danville,,,,
22,K9ADL,145.310000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,Oakwood,,,,
23,W9MJL,146.820000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,Allerton,,,,
24,NE9RD,443.725000,+,5.000000,,88.5,88.5,023,NN,DV,5.00,,Danville,CQCQCQ,,,0
25,KB9YZI,444.825000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,Hoopeston,,,,
26,KC9USH,927.625000,-,25.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Danville,,,,
30,K9TA,444.825000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Paxton,,,,
